trace_num,human_majority,human_agreement,human_P1,human_P2,human_P3,human_P4,human_P5,human_P6,GPT (P1),GPT (P2),Llama (P1),Llama (P2),gpt_majority,llama_majority,all_llm_majority
1,RETRIEVE_MORE,1.00,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE
2,RETRIEVE_MORE,1.00,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE,ESCALATE,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE
3,RETRIEVE_MORE,1.00,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE,ESCALATE,ESCALATE,RETRIEVE_MORE,ESCALATE,RETRIEVE_MORE
4,REPLAN,1.00,REPLAN,REPLAN,REPLAN,REPLAN,REPLAN,REPLAN,REPLAN,REPLAN,REPLAN,REPLAN,REPLAN,REPLAN,REPLAN
5,REPLAN,0.67,REPLAN,REPLAN,REPLAN,RETRY,REPLAN,RETRY,REPLAN,REPLAN,RETRY,RETRY,REPLAN,RETRY,REPLAN
6,RETRY,0.67,REPLAN,RETRY,RETRY,RETRY,REPLAN,RETRY,REPLAN,REPLAN,REPLAN,REPLAN,REPLAN,REPLAN,REPLAN
7,REPLAN,1.00,REPLAN,REPLAN,REPLAN,REPLAN,REPLAN,REPLAN,REPLAN,REPLAN,RETRY,RETRY,REPLAN,RETRY,REPLAN
8,REPLAN,0.83,REPLAN,REPLAN,REPLAN,REPLAN,LOCAL_REPAIR,REPLAN,REPLAN,REPLAN,REPLAN,REPLAN,REPLAN,REPLAN,REPLAN
9,REPLAN,0.67,REPLAN,RETRY,REPLAN,REPLAN,LOCAL_REPAIR,REPLAN,REPLAN,RETRY,RETRY,RETRY,REPLAN,RETRY,RETRY
10,REPLAN,0.67,REPLAN,REPLAN,REPLAN,RETRY,REPLAN,RETRY,REPLAN,REPLAN,REPLAN,REPLAN,REPLAN,REPLAN,REPLAN
11,LOCAL_REPAIR,0.83,LOCAL_REPAIR,LOCAL_REPAIR,LOCAL_REPAIR,LOCAL_REPAIR,REPLAN,LOCAL_REPAIR,REPLAN,REPLAN,RETRY,RETRY,REPLAN,RETRY,REPLAN
12,REPLAN,0.83,REPLAN,REPLAN,REPLAN,RETRY,REPLAN,REPLAN,REPLAN,REPLAN,REPLAN,REPLAN,REPLAN,REPLAN,REPLAN
13,REPLAN,0.83,REPLAN,REPLAN,REPLAN,REPLAN,RETRY,REPLAN,REPLAN,REPLAN,RETRY,RETRY,REPLAN,RETRY,REPLAN
14,REPLAN,1.00,REPLAN,REPLAN,REPLAN,REPLAN,REPLAN,REPLAN,RETRY,REPLAN,REPLAN,REPLAN,RETRY,REPLAN,REPLAN
15,REPLAN,1.00,REPLAN,REPLAN,REPLAN,REPLAN,REPLAN,REPLAN,REPLAN,REPLAN,REPLAN,REPLAN,REPLAN,REPLAN,REPLAN
16,REPLAN,0.83,REPLAN,REPLAN,REPLAN,RETRY,REPLAN,REPLAN,REPLAN,REPLAN,REPLAN,REPLAN,REPLAN,REPLAN,REPLAN
17,REPLAN,0.83,REPLAN,REPLAN,REPLAN,REPLAN,LOCAL_REPAIR,REPLAN,REPLAN,REPLAN,REPLAN,RETRY,REPLAN,REPLAN,REPLAN
18,REPLAN,0.83,REPLAN,REPLAN,REPLAN,REPLAN,ESCALATE,REPLAN,ESCALATE,ESCALATE,REPLAN,REPLAN,ESCALATE,REPLAN,ESCALATE
19,REPLAN,1.00,REPLAN,REPLAN,REPLAN,REPLAN,REPLAN,REPLAN,REPLAN,REPLAN,REPLAN,REPLAN,REPLAN,REPLAN,REPLAN
20,LOCAL_REPAIR,0.50,LOCAL_REPAIR,RETRY,LOCAL_REPAIR,RETRY,LOCAL_REPAIR,RETRY,RETRY,RETRY,RETRY,RETRY,RETRY,RETRY,RETRY
21,REPLAN,1.00,REPLAN,REPLAN,REPLAN,REPLAN,REPLAN,REPLAN,REPLAN,REPLAN,RETRY,RETRY,REPLAN,RETRY,REPLAN
22,REPLAN,1.00,REPLAN,REPLAN,REPLAN,REPLAN,REPLAN,REPLAN,REPLAN,REPLAN,REPLAN,REPLAN,REPLAN,REPLAN,REPLAN
23,REPLAN,1.00,REPLAN,REPLAN,REPLAN,REPLAN,REPLAN,REPLAN,REPLAN,REPLAN,REPLAN,REPLAN,REPLAN,REPLAN,REPLAN
24,REPLAN,0.50,REPLAN,REPLAN,RETRY,RETRY,ESCALATE,REPLAN,REPLAN,REPLAN,REPLAN,REPLAN,REPLAN,REPLAN,REPLAN
25,TOOL_FIX,0.50,TOOL_FIX,TOOL_FIX,REPLAN,REPLAN,TOOL_FIX,REPLAN,TOOL_FIX,REPLAN,REPLAN,TOOL_FIX,TOOL_FIX,REPLAN,TOOL_FIX
26,REPLAN,0.67,REPLAN,TOOL_FIX,REPLAN,REPLAN,TOOL_FIX,REPLAN,RETRY,RETRY,REPLAN,REPLAN,RETRY,REPLAN,RETRY
27,REPLAN,1.00,REPLAN,REPLAN,REPLAN,REPLAN,REPLAN,REPLAN,REPLAN,RETRY,REPLAN,REPLAN,REPLAN,REPLAN,REPLAN
28,REPLAN,0.67,REPLAN,LOCAL_REPAIR,REPLAN,REPLAN,TOOL_FIX,REPLAN,REPLAN,REPLAN,REPLAN,REPLAN,REPLAN,REPLAN,REPLAN
29,TOOL_FIX,0.67,TOOL_FIX,RETRY,TOOL_FIX,TOOL_FIX,TOOL_FIX,LOCAL_REPAIR,RETRY,TOOL_FIX,TOOL_FIX,REPLAN,RETRY,TOOL_FIX,TOOL_FIX
30,REPLAN,1.00,REPLAN,REPLAN,REPLAN,REPLAN,REPLAN,REPLAN,REPLAN,REPLAN,REPLAN,REPLAN,REPLAN,REPLAN,REPLAN
31,TOOL_FIX,0.83,TOOL_FIX,TOOL_FIX,TOOL_FIX,LOCAL_REPAIR,TOOL_FIX,TOOL_FIX,TOOL_FIX,TOOL_FIX,REPLAN,REPLAN,TOOL_FIX,REPLAN,TOOL_FIX
32,TOOL_FIX,0.83,TOOL_FIX,REPLAN,TOOL_FIX,TOOL_FIX,TOOL_FIX,TOOL_FIX,RETRY,TOOL_FIX,TOOL_FIX,TOOL_FIX,RETRY,TOOL_FIX,TOOL_FIX
33,TOOL_FIX,1.00,TOOL_FIX,TOOL_FIX,TOOL_FIX,TOOL_FIX,TOOL_FIX,TOOL_FIX,REPLAN,REPLAN,REPLAN,REPLAN,REPLAN,REPLAN,REPLAN
34,REPLAN,0.50,REPLAN,TOOL_FIX,RETRY,REPLAN,TOOL_FIX,REPLAN,REPLAN,RETRY,REPLAN,REPLAN,REPLAN,REPLAN,REPLAN
35,REPLAN,0.83,REPLAN,REPLAN,REPLAN,REPLAN,TOOL_FIX,REPLAN,TOOL_FIX,TOOL_FIX,REPLAN,REPLAN,TOOL_FIX,REPLAN,TOOL_FIX
36,REPLAN,1.00,REPLAN,REPLAN,REPLAN,REPLAN,REPLAN,REPLAN,REPLAN,REPLAN,REPLAN,REPLAN,REPLAN,REPLAN,REPLAN
37,TOOL_FIX,0.50,TOOL_FIX,REPLAN,TOOL_FIX,REPLAN,TOOL_FIX,REPLAN,TOOL_FIX,TOOL_FIX,REPLAN,REPLAN,TOOL_FIX,REPLAN,TOOL_FIX
38,REPLAN,0.67,REPLAN,REPLAN,REPLAN,RETRY,TOOL_FIX,REPLAN,REPLAN,TOOL_FIX,REPLAN,REPLAN,REPLAN,REPLAN,REPLAN
39,REPLAN,0.83,REPLAN,REPLAN,REPLAN,REPLAN,TOOL_FIX,REPLAN,TOOL_FIX,REPLAN,REPLAN,RETRY,TOOL_FIX,REPLAN,REPLAN
40,REPLAN,1.00,REPLAN,REPLAN,REPLAN,REPLAN,REPLAN,REPLAN,REPLAN,REPLAN,REPLAN,REPLAN,REPLAN,REPLAN,REPLAN
41,REPLAN,0.50,REPLAN,REPLAN,RETRY,RETRY,TOOL_FIX,REPLAN,RETRY,RETRY,REPLAN,REPLAN,RETRY,REPLAN,RETRY
42,REPLAN,0.83,RETRY,REPLAN,REPLAN,REPLAN,REPLAN,REPLAN,REPLAN,REPLAN,REPLAN,REPLAN,REPLAN,REPLAN,REPLAN
43,REPLAN,0.83,REPLAN,REPLAN,REPLAN,REPLAN,TOOL_FIX,REPLAN,REPLAN,REPLAN,REPLAN,REPLAN,REPLAN,REPLAN,REPLAN
44,TOOL_FIX,1.00,TOOL_FIX,TOOL_FIX,TOOL_FIX,TOOL_FIX,TOOL_FIX,TOOL_FIX,TOOL_FIX,REPLAN,REPLAN,REPLAN,TOOL_FIX,REPLAN,REPLAN
45,TOOL_FIX,0.83,TOOL_FIX,TOOL_FIX,TOOL_FIX,TOOL_FIX,REPLAN,TOOL_FIX,TOOL_FIX,TOOL_FIX,TOOL_FIX,TOOL_FIX,TOOL_FIX,TOOL_FIX,TOOL_FIX
46,REPLAN,1.00,REPLAN,REPLAN,REPLAN,REPLAN,REPLAN,REPLAN,REPLAN,REPLAN,REPLAN,REPLAN,REPLAN,REPLAN,REPLAN
