trace_num,human_majority,human_agreement,human_Kavin,human_Fahim,human_Yurun,human_Daivik,human_Gerard,human_Gezheng,GPT (Kavin),GPT (Fahim),Llama (Kavin),Llama (Fahim),gpt_majority,llama_majority,all_llm_majority
6,RETRY,0.67,REPLAN,RETRY,RETRY,RETRY,REPLAN,RETRY,REPLAN,REPLAN,REPLAN,REPLAN,REPLAN,REPLAN,REPLAN
11,LOCAL_REPAIR,0.83,LOCAL_REPAIR,LOCAL_REPAIR,LOCAL_REPAIR,LOCAL_REPAIR,REPLAN,LOCAL_REPAIR,REPLAN,REPLAN,RETRY,RETRY,REPLAN,RETRY,REPLAN
20,LOCAL_REPAIR,0.50,LOCAL_REPAIR,RETRY,LOCAL_REPAIR,RETRY,LOCAL_REPAIR,RETRY,RETRY,RETRY,RETRY,RETRY,RETRY,RETRY,RETRY
33,TOOL_FIX,1.00,TOOL_FIX,TOOL_FIX,TOOL_FIX,TOOL_FIX,TOOL_FIX,TOOL_FIX,REPLAN,REPLAN,REPLAN,REPLAN,REPLAN,REPLAN,REPLAN
49,TOOL_FIX,0.67,REPLAN,TOOL_FIX,REPLAN,TOOL_FIX,TOOL_FIX,TOOL_FIX,REPLAN,REPLAN,REPLAN,REPLAN,REPLAN,REPLAN,REPLAN
69,LOCAL_REPAIR,0.33,LOCAL_REPAIR,TOOL_FIX,REPLAN,LOCAL_REPAIR,RETRY,REPLAN,REPLAN,REPLAN,REPLAN,RETRY,REPLAN,REPLAN,REPLAN
77,TOOL_FIX,1.00,TOOL_FIX,TOOL_FIX,TOOL_FIX,TOOL_FIX,TOOL_FIX,TOOL_FIX,REPLAN,REPLAN,REPLAN,REPLAN,REPLAN,REPLAN,REPLAN
92,RETRY,0.50,LOCAL_REPAIR,RETRY,REPLAN,RETRY,REPLAN,RETRY,ESCALATE,TOOL_FIX,REPLAN,REPLAN,ESCALATE,REPLAN,REPLAN
104,TOOL_FIX,1.00,TOOL_FIX,TOOL_FIX,TOOL_FIX,TOOL_FIX,TOOL_FIX,TOOL_FIX,REPLAN,REPLAN,REPLAN,REPLAN,REPLAN,REPLAN,REPLAN
105,TOOL_FIX,1.00,TOOL_FIX,TOOL_FIX,TOOL_FIX,TOOL_FIX,TOOL_FIX,TOOL_FIX,REPLAN,REPLAN,REPLAN,REPLAN,REPLAN,REPLAN,REPLAN
114,TOOL_FIX,1.00,TOOL_FIX,TOOL_FIX,TOOL_FIX,TOOL_FIX,TOOL_FIX,TOOL_FIX,RETRY,REPLAN,REPLAN,REPLAN,RETRY,REPLAN,REPLAN
120,TOOL_FIX,0.83,TOOL_FIX,TOOL_FIX,TOOL_FIX,TOOL_FIX,REPLAN,TOOL_FIX,REPLAN,REPLAN,REPLAN,REPLAN,REPLAN,REPLAN,REPLAN
124,LOCAL_REPAIR,0.83,TOOL_FIX,LOCAL_REPAIR,LOCAL_REPAIR,LOCAL_REPAIR,LOCAL_REPAIR,LOCAL_REPAIR,TOOL_FIX,TOOL_FIX,TOOL_FIX,TOOL_FIX,TOOL_FIX,TOOL_FIX,TOOL_FIX
142,LOCAL_REPAIR,0.33,LOCAL_REPAIR,REPLAN,REPLAN,RETRY,RETRY,LOCAL_REPAIR,RETRY,REPLAN,REPLAN,REPLAN,RETRY,REPLAN,REPLAN
147,TOOL_FIX,1.00,TOOL_FIX,TOOL_FIX,TOOL_FIX,TOOL_FIX,TOOL_FIX,TOOL_FIX,REPLAN,REPLAN,REPLAN,REPLAN,REPLAN,REPLAN,REPLAN
154,TOOL_FIX,0.83,TOOL_FIX,TOOL_FIX,TOOL_FIX,TOOL_FIX,REPLAN,TOOL_FIX,REPLAN,REPLAN,REPLAN,REPLAN,REPLAN,REPLAN,REPLAN
155,TOOL_FIX,1.00,TOOL_FIX,TOOL_FIX,TOOL_FIX,TOOL_FIX,TOOL_FIX,TOOL_FIX,RETRY,RETRY,REPLAN,REPLAN,RETRY,REPLAN,RETRY
159,TOOL_FIX,0.83,TOOL_FIX,TOOL_FIX,LOCAL_REPAIR,TOOL_FIX,TOOL_FIX,TOOL_FIX,REPLAN,REPLAN,REPLAN,REPLAN,REPLAN,REPLAN,REPLAN
161,TOOL_FIX,0.67,REPLAN,TOOL_FIX,TOOL_FIX,TOOL_FIX,TOOL_FIX,REPLAN,REPLAN,REPLAN,REPLAN,REPLAN,REPLAN,REPLAN,REPLAN
172,TOOL_FIX,1.00,TOOL_FIX,TOOL_FIX,TOOL_FIX,TOOL_FIX,TOOL_FIX,TOOL_FIX,REPLAN,REPLAN,REPLAN,REPLAN,REPLAN,REPLAN,REPLAN
174,LOCAL_REPAIR,0.67,LOCAL_REPAIR,TOOL_FIX,LOCAL_REPAIR,LOCAL_REPAIR,RETRY,LOCAL_REPAIR,RETRY,RETRY,REPLAN,REPLAN,RETRY,REPLAN,RETRY
177,TOOL_FIX,1.00,TOOL_FIX,TOOL_FIX,TOOL_FIX,TOOL_FIX,TOOL_FIX,TOOL_FIX,REPLAN,RETRY,REPLAN,REPLAN,REPLAN,REPLAN,REPLAN
192,TOOL_FIX,1.00,TOOL_FIX,TOOL_FIX,TOOL_FIX,TOOL_FIX,TOOL_FIX,TOOL_FIX,REPLAN,REPLAN,REPLAN,REPLAN,REPLAN,REPLAN,REPLAN
196,LOCAL_REPAIR,0.50,LOCAL_REPAIR,RETRY,REPLAN,LOCAL_REPAIR,REPLAN,LOCAL_REPAIR,RETRY,TOOL_FIX,REPLAN,REPLAN,RETRY,REPLAN,REPLAN
203,TOOL_FIX,0.83,TOOL_FIX,TOOL_FIX,TOOL_FIX,TOOL_FIX,REPLAN,TOOL_FIX,REPLAN,REPLAN,REPLAN,REPLAN,REPLAN,REPLAN,REPLAN
205,TOOL_FIX,1.00,TOOL_FIX,TOOL_FIX,TOOL_FIX,TOOL_FIX,TOOL_FIX,TOOL_FIX,REPLAN,RETRY,REPLAN,REPLAN,REPLAN,REPLAN,REPLAN
213,LOCAL_REPAIR,0.67,LOCAL_REPAIR,LOCAL_REPAIR,RETRY,LOCAL_REPAIR,REPLAN,LOCAL_REPAIR,REPLAN,REPLAN,REPLAN,REPLAN,REPLAN,REPLAN,REPLAN
216,TOOL_FIX,1.00,TOOL_FIX,TOOL_FIX,TOOL_FIX,TOOL_FIX,TOOL_FIX,TOOL_FIX,RETRY,REPLAN,REPLAN,REPLAN,RETRY,REPLAN,REPLAN
218,LOCAL_REPAIR,0.83,LOCAL_REPAIR,LOCAL_REPAIR,LOCAL_REPAIR,LOCAL_REPAIR,RETRY,LOCAL_REPAIR,REPLAN,RETRY,REPLAN,REPLAN,REPLAN,REPLAN,REPLAN
223,LOCAL_REPAIR,0.83,LOCAL_REPAIR,TOOL_FIX,LOCAL_REPAIR,LOCAL_REPAIR,LOCAL_REPAIR,LOCAL_REPAIR,REPLAN,TOOL_FIX,REPLAN,REPLAN,REPLAN,REPLAN,REPLAN
225,LOCAL_REPAIR,0.50,LOCAL_REPAIR,REPLAN,LOCAL_REPAIR,LOCAL_REPAIR,RETRY,TOOL_FIX,REPLAN,REPLAN,REPLAN,REPLAN,REPLAN,REPLAN,REPLAN
233,LOCAL_REPAIR,0.67,LOCAL_REPAIR,RETRY,REPLAN,LOCAL_REPAIR,LOCAL_REPAIR,LOCAL_REPAIR,RETRY,RETRY,REPLAN,REPLAN,RETRY,REPLAN,RETRY
235,LOCAL_REPAIR,1.00,LOCAL_REPAIR,LOCAL_REPAIR,LOCAL_REPAIR,LOCAL_REPAIR,LOCAL_REPAIR,LOCAL_REPAIR,REPLAN,REPLAN,REPLAN,REPLAN,REPLAN,REPLAN,REPLAN
245,TOOL_FIX,1.00,TOOL_FIX,TOOL_FIX,TOOL_FIX,TOOL_FIX,TOOL_FIX,TOOL_FIX,REPLAN,REPLAN,REPLAN,REPLAN,REPLAN,REPLAN,REPLAN
251,RETRY,0.67,RETRY,REPLAN,REPLAN,RETRY,RETRY,RETRY,REPLAN,REPLAN,REPLAN,REPLAN,REPLAN,REPLAN,REPLAN
285,REPLAN,1.00,REPLAN,REPLAN,REPLAN,REPLAN,REPLAN,REPLAN,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE
289,REPLAN,1.00,REPLAN,REPLAN,REPLAN,REPLAN,REPLAN,REPLAN,RETRIEVE_MORE,RETRIEVE_MORE,RETRY,RETRIEVE_MORE,RETRIEVE_MORE,RETRY,RETRIEVE_MORE
291,REPLAN,0.83,REPLAN,REPLAN,REPLAN,REPLAN,RETRIEVE_MORE,REPLAN,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE
294,REPLAN,1.00,REPLAN,REPLAN,REPLAN,REPLAN,REPLAN,REPLAN,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE
295,REPLAN,1.00,REPLAN,REPLAN,REPLAN,REPLAN,REPLAN,REPLAN,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE
297,REPLAN,1.00,REPLAN,REPLAN,REPLAN,REPLAN,REPLAN,REPLAN,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE
299,REPLAN,1.00,REPLAN,REPLAN,REPLAN,REPLAN,REPLAN,REPLAN,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE
301,TOOL_FIX,1.00,TOOL_FIX,TOOL_FIX,TOOL_FIX,TOOL_FIX,TOOL_FIX,TOOL_FIX,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE
309,REPLAN,0.50,REPLAN,RETRIEVE_MORE,RETRIEVE_MORE,RETRY,REPLAN,REPLAN,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE
318,REPLAN,0.67,RETRY,REPLAN,REPLAN,REPLAN,RETRY,REPLAN,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE
335,REPLAN,0.83,REPLAN,REPLAN,REPLAN,REPLAN,RETRIEVE_MORE,REPLAN,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE
339,REPLAN,0.83,REPLAN,REPLAN,REPLAN,REPLAN,RETRIEVE_MORE,REPLAN,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE
345,ESCALATE,0.83,ESCALATE,RETRIEVE_MORE,ESCALATE,ESCALATE,ESCALATE,ESCALATE,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE
347,REPLAN,0.83,REPLAN,REPLAN,REPLAN,REPLAN,RETRIEVE_MORE,REPLAN,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE
348,REPLAN,0.67,REPLAN,REPLAN,REPLAN,RETRY,RETRIEVE_MORE,REPLAN,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE
355,REPLAN,0.67,REPLAN,RETRIEVE_MORE,REPLAN,REPLAN,RETRIEVE_MORE,REPLAN,TOOL_FIX,TOOL_FIX,RETRIEVE_MORE,RETRIEVE_MORE,TOOL_FIX,RETRIEVE_MORE,TOOL_FIX
363,REPLAN,1.00,REPLAN,REPLAN,REPLAN,REPLAN,REPLAN,REPLAN,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE
364,REPLAN,1.00,REPLAN,REPLAN,REPLAN,REPLAN,REPLAN,REPLAN,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE
366,REPLAN,0.50,REPLAN,RETRIEVE_MORE,RETRIEVE_MORE,REPLAN,REPLAN,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE,RETRIEVE_MORE
