trace_id,human_majority
run_BrowseComp_2025-12-15T20:38:47.779542::browsecomp_3,RETRIEVE_MORE
run_BrowseComp_2025-12-15T20:38:47.779542::browsecomp_6,RETRIEVE_MORE
run_BrowseComp_2025-12-15T20:38:47.779542::browsecomp_7,RETRIEVE_MORE
run_GSM8K_2025-11-21T04:46:29.543781::119,REPLAN
run_GSM8K_2025-12-20T07:31:17.721477::gsm8k_2,REPLAN
run_GSM8K_2025-12-20T07:38:08.801930::gsm8k_1039,RETRY
run_GSM8K_2025-12-20T07:38:08.801930::gsm8k_1048,REPLAN
run_GSM8K_2025-12-20T07:38:08.801930::gsm8k_1088,REPLAN
run_GSM8K_2025-12-20T07:38:08.801930::gsm8k_1161,REPLAN
run_GSM8K_2025-12-20T07:38:08.801930::gsm8k_119,REPLAN
run_GSM8K_2025-12-20T07:38:08.801930::gsm8k_12,LOCAL_REPAIR
run_GSM8K_2025-12-20T07:38:08.801930::gsm8k_162,REPLAN
run_GSM8K_2025-12-20T07:38:08.801930::gsm8k_187,REPLAN
run_GSM8K_2025-12-20T07:38:08.801930::gsm8k_209,REPLAN
run_GSM8K_2025-12-20T07:38:08.801930::gsm8k_368,REPLAN
run_GSM8K_2025-12-20T07:38:08.801930::gsm8k_37,REPLAN
run_GSM8K_2025-12-20T07:38:08.801930::gsm8k_380,REPLAN
run_GSM8K_2025-12-20T07:38:08.801930::gsm8k_454,REPLAN
run_GSM8K_2025-12-20T07:38:08.801930::gsm8k_494,REPLAN
run_GSM8K_2025-12-20T07:38:08.801930::gsm8k_641,LOCAL_REPAIR
run_GSM8K_2025-12-20T07:38:08.801930::gsm8k_649,REPLAN
run_GSM8K_2025-12-20T07:38:08.801930::gsm8k_749,REPLAN
run_GSM8K_2025-12-20T07:38:08.801930::gsm8k_835,REPLAN
run_GSM8K_2025-12-20T07:38:08.801930::gsm8k_952,REPLAN
run_MBPP_2025-12-06T08:50:36.324654::mbpp-601,TOOL_FIX
run_MBPP_2025-12-06T08:50:36.324654::mbpp-602,REPLAN
run_MBPP_2025-12-06T08:50:36.324654::mbpp-603,REPLAN
run_MBPP_2025-12-06T08:50:36.324654::mbpp-607,REPLAN
run_MBPP_2025-12-06T08:50:36.324654::mbpp-609,TOOL_FIX
run_MBPP_2025-12-06T08:50:36.324654::mbpp-610,REPLAN
run_MBPP_2025-12-06T08:50:36.324654::mbpp-617,TOOL_FIX
run_MBPP_2025-12-06T08:50:36.324654::mbpp-620,TOOL_FIX
run_MBPP_2025-12-06T08:50:36.324654::mbpp-630,TOOL_FIX
run_MBPP_2025-12-06T08:50:36.324654::mbpp-638,REPLAN
run_MBPP_2025-12-06T08:50:36.324654::mbpp-642,REPLAN
run_MBPP_2025-12-06T08:50:36.324654::mbpp-643,REPLAN
run_MBPP_2025-12-11T00:49:23.675982::mbpp-101,TOOL_FIX
run_MBPP_2025-12-11T00:49:23.675982::mbpp-106,REPLAN
run_MBPP_2025-12-11T00:49:23.675982::mbpp-108,REPLAN
run_MBPP_2025-12-11T00:49:23.675982::mbpp-110,REPLAN
run_MBPP_2025-12-11T00:49:23.675982::mbpp-112,REPLAN
run_MBPP_2025-12-11T00:49:23.675982::mbpp-114,REPLAN
run_MBPP_2025-12-11T00:49:23.675982::mbpp-117,REPLAN
run_MBPP_2025-12-11T00:49:23.675982::mbpp-119,TOOL_FIX
run_MBPP_2025-12-11T00:49:23.675982::mbpp-121,TOOL_FIX
run_MBPP_2025-12-11T00:49:23.675982::mbpp-122,REPLAN
run_MBPP_2025-12-11T00:49:23.675982::mbpp-124,REPLAN
run_MBPP_2025-12-11T00:49:23.675982::mbpp-125,TOOL_FIX
run_MBPP_2025-12-11T00:49:23.675982::mbpp-13,TOOL_FIX
run_MBPP_2025-12-11T00:49:23.675982::mbpp-134,TOOL_FIX
run_MBPP_2025-12-11T00:49:23.675982::mbpp-136,REPLAN
run_MBPP_2025-12-11T00:49:23.675982::mbpp-137,REPLAN
run_MBPP_2025-12-11T00:49:23.675982::mbpp-138,REPLAN
run_MBPP_2025-12-11T00:49:23.675982::mbpp-139,RETRY
run_MBPP_2025-12-11T00:49:23.675982::mbpp-140,REPLAN
run_MBPP_2025-12-11T00:49:23.675982::mbpp-143,REPLAN
run_MBPP_2025-12-11T00:49:23.675982::mbpp-144,TOOL_FIX
run_MBPP_2025-12-11T00:49:23.675982::mbpp-145,TOOL_FIX
run_MBPP_2025-12-11T00:49:23.675982::mbpp-146,REPLAN
run_MBPP_2025-12-11T00:49:23.675982::mbpp-147,TOOL_FIX
run_MBPP_2025-12-11T00:49:23.675982::mbpp-149,TOOL_FIX
run_MBPP_2025-12-11T00:49:23.675982::mbpp-15,REPLAN
run_MBPP_2025-12-11T00:49:23.675982::mbpp-150,TOOL_FIX
run_MBPP_2025-12-11T00:49:23.675982::mbpp-155,REPLAN
run_MBPP_2025-12-11T00:49:23.675982::mbpp-158,TOOL_FIX
run_MBPP_2025-12-11T00:49:23.675982::mbpp-159,RETRY
run_MBPP_2025-12-11T00:49:23.675982::mbpp-16,REPLAN
run_MBPP_2025-12-11T00:49:23.675982::mbpp-160,REPLAN
run_MBPP_2025-12-11T00:49:23.675982::mbpp-180,LOCAL_REPAIR
run_MBPP_2025-12-11T00:49:23.675982::mbpp-181,TOOL_FIX
run_MBPP_2025-12-11T00:49:23.675982::mbpp-182,REPLAN
run_MBPP_2025-12-11T00:49:23.675982::mbpp-183,TOOL_FIX
run_MBPP_2025-12-11T00:49:23.675982::mbpp-184,REPLAN
run_MBPP_2025-12-11T00:49:23.675982::mbpp-187,TOOL_FIX
run_MBPP_2025-12-11T00:49:23.675982::mbpp-188,REPLAN
run_MBPP_2025-12-11T00:49:23.675982::mbpp-189,TOOL_FIX
run_MBPP_2025-12-11T00:49:23.675982::mbpp-190,TOOL_FIX
run_MBPP_2025-12-11T00:49:23.675982::mbpp-198,REPLAN
run_MBPP_2025-12-11T00:49:23.675982::mbpp-205,REPLAN
run_MBPP_2025-12-11T00:49:23.675982::mbpp-209,REPLAN
run_MBPP_2025-12-11T00:49:23.675982::mbpp-211,TOOL_FIX
run_MBPP_2025-12-11T00:49:23.675982::mbpp-216,REPLAN
run_MBPP_2025-12-11T00:49:23.675982::mbpp-218,REPLAN
