trace_id,human_majority
run_GSM8K_2025-12-20T07:38:08.801930::gsm8k_242,LOCAL_REPAIR
run_MBPP_2025-12-11T00:49:23.675982::mbpp-483,REPLAN
run_MBPP_2025-12-11T00:49:23.675982::mbpp-159,RETRY
run_MBPP_2025-12-11T00:49:23.675982::mbpp-841,LOCAL_REPAIR
run_SealQA_2025-12-18T02:41:05.742380::sealqa_218,RETRIEVE_MORE
run_MBPP_2025-12-11T00:49:23.675982::mbpp-501,TOOL_FIX
run_MedBrowseComp_2025-12-19T21:55:32.749095::medbrowsecomp_317,LOCAL_REPAIR
run_MBPP_2025-12-11T00:49:23.675982::mbpp-414,LOCAL_REPAIR
run_SealQA_2025-12-18T02:41:05.742380::sealqa_11,RETRIEVE_MORE
run_GSM8K_2025-12-20T07:38:08.801930::gsm8k_967,LOCAL_REPAIR
run_MedBrowseComp_2025-12-19T21:55:32.749095::medbrowsecomp_253,RETRIEVE_MORE
run_MedBrowseComp_2025-12-20T04:32:10.895355::medbrowsecomp_38,TOOL_FIX
run_MedBrowseComp_2025-12-19T21:55:32.749095::medbrowsecomp_134,LOCAL_REPAIR
run_GSM8K_2025-12-20T07:38:08.801930::gsm8k_1122,LOCAL_REPAIR
run_GSM8K_2025-12-20T07:38:08.801930::gsm8k_382,LOCAL_REPAIR
run_MBPP_2025-12-11T00:49:23.675982::mbpp-31,REPLAN
run_MedBrowseComp_2025-12-19T21:55:32.749095::medbrowsecomp_217,RETRIEVE_MORE
run_MedBrowseComp_2025-12-19T21:55:32.749095::medbrowsecomp_245,RETRIEVE_MORE
run_GSM8K_2025-12-20T07:38:08.801930::gsm8k_448,LOCAL_REPAIR
run_GSM8K_2025-12-20T07:38:08.801930::gsm8k_1138,LOCAL_REPAIR
run_MBPP_2025-12-11T00:49:23.675982::mbpp-899,TOOL_FIX
run_MBPP_2025-12-11T00:49:23.675982::mbpp-184,REPLAN
run_SealQA_2025-12-18T02:41:05.742380::sealqa_21,REPLAN
run_MBPP_2025-12-11T00:49:23.675982::mbpp-597,TOOL_FIX
run_MBPP_2025-12-11T00:49:23.675982::mbpp-626,LOCAL_REPAIR
run_MedBrowseComp_2025-12-19T21:55:32.749095::medbrowsecomp_127,RETRIEVE_MORE
run_MBPP_2025-12-11T00:49:23.675982::mbpp-918,TOOL_FIX
run_GSM8K_2025-12-20T07:38:08.801930::gsm8k_87,LOCAL_REPAIR
run_MBPP_2025-12-11T00:49:23.675982::mbpp-851,TOOL_FIX
run_MBPP_2025-12-11T00:49:23.675982::mbpp-4,LOCAL_REPAIR
run_MBPP_2025-12-11T00:49:23.675982::mbpp-437,LOCAL_REPAIR
run_SealQA_2025-12-18T02:41:05.742380::sealqa_205,LOCAL_REPAIR
run_MedBrowseComp_2025-12-19T21:55:32.749095::medbrowsecomp_185,RETRIEVE_MORE
run_MedBrowseComp_2025-12-19T21:55:32.749095::medbrowsecomp_110,RETRIEVE_MORE
run_MedBrowseComp_2025-12-19T21:55:32.749095::medbrowsecomp_139,REPLAN
run_GSM8K_2025-12-20T07:38:08.801930::gsm8k_1309,LOCAL_REPAIR
run_MBPP_2025-12-11T00:49:23.675982::mbpp-545,LOCAL_REPAIR
run_GSM8K_2025-12-20T07:38:08.801930::gsm8k_918,LOCAL_REPAIR
run_GSM8K_2025-12-20T07:38:08.801930::gsm8k_369,LOCAL_REPAIR
run_MedBrowseComp_2025-12-19T21:55:32.749095::medbrowsecomp_29,LOCAL_REPAIR
run_MedBrowseComp_2025-12-19T21:55:32.749095::medbrowsecomp_16,RETRIEVE_MORE
run_MedBrowseComp_2025-12-20T04:32:10.895355::medbrowsecomp_24,TOOL_FIX
run_MedBrowseComp_2025-12-19T21:55:32.749095::medbrowsecomp_69,RETRIEVE_MORE
run_MBPP_2025-12-11T00:49:23.675982::mbpp-927,TOOL_FIX
run_MBPP_2025-12-11T00:49:23.675982::mbpp-149,TOOL_FIX
run_SealQA_2025-12-18T02:41:05.742380::sealqa_189,RETRIEVE_MORE
run_GSM8K_2025-12-20T07:38:08.801930::gsm8k_721,LOCAL_REPAIR
run_MBPP_2025-12-11T00:49:23.675982::mbpp-164,LOCAL_REPAIR
run_MBPP_2025-12-11T00:49:23.675982::mbpp-374,REPLAN
run_GSM8K_2025-12-20T07:38:08.801930::gsm8k_641,LOCAL_REPAIR
run_MBPP_2025-12-11T00:49:23.675982::mbpp-143,REPLAN
run_GSM8K_2025-12-20T07:38:08.801930::gsm8k_974,LOCAL_REPAIR
run_MBPP_2025-12-11T00:49:23.675982::mbpp-103,LOCAL_REPAIR
run_MedBrowseComp_2025-12-19T21:55:32.749095::medbrowsecomp_168,LOCAL_REPAIR
run_GSM8K_2025-12-20T07:38:08.801930::gsm8k_63,LOCAL_REPAIR
run_MedBrowseComp_2025-12-19T21:55:32.749095::medbrowsecomp_85,RETRIEVE_MORE
run_MBPP_2025-12-11T00:49:23.675982::mbpp-709,REPLAN
run_MedBrowseComp_2025-12-19T21:55:32.749095::medbrowsecomp_353,LOCAL_REPAIR
run_GSM8K_2025-12-20T07:38:08.801930::gsm8k_782,LOCAL_REPAIR
run_GSM8K_2025-12-20T07:38:08.801930::gsm8k_392,LOCAL_REPAIR
run_MBPP_2025-12-11T00:49:23.675982::mbpp-50,LOCAL_REPAIR
run_GSM8K_2025-12-20T07:38:08.801930::gsm8k_1048,REPLAN
run_MBPP_2025-12-11T00:49:23.675982::mbpp-53,LOCAL_REPAIR
run_MedBrowseComp_2025-12-19T21:55:32.749095::medbrowsecomp_124,RETRIEVE_MORE
run_MBPP_2025-12-11T00:49:23.675982::mbpp-235,REPLAN
run_MedBrowseComp_2025-12-20T04:32:10.895355::medbrowsecomp_49,TOOL_FIX
run_GSM8K_2025-12-20T07:38:08.801930::gsm8k_107,LOCAL_REPAIR
run_SealQA_2025-12-18T02:41:05.742380::sealqa_209,LOCAL_REPAIR
run_MedBrowseComp_2025-12-20T04:32:10.895355::medbrowsecomp_9,RETRIEVE_MORE
run_MBPP_2025-12-11T00:49:23.675982::mbpp-166,LOCAL_REPAIR
run_MBPP_2025-12-11T00:49:23.675982::mbpp-467,LOCAL_REPAIR
run_GSM8K_2025-12-20T07:38:08.801930::gsm8k_58,LOCAL_REPAIR
run_GSM8K_2025-12-20T07:38:08.801930::gsm8k_610,LOCAL_REPAIR
run_BrowseComp_2025-12-15T20:38:47.779542::browsecomp_9,LOCAL_REPAIR
run_MedBrowseComp_2025-12-20T04:32:10.895355::medbrowsecomp_16,LOCAL_REPAIR
run_MBPP_2025-12-11T00:49:23.675982::mbpp-402,REPLAN
run_MedBrowseComp_2025-12-19T21:55:32.749095::medbrowsecomp_213,REPLAN
run_MBPP_2025-12-06T08:50:36.324654::mbpp-626,LOCAL_REPAIR
run_MBPP_2025-12-11T00:49:23.675982::mbpp-661,LOCAL_REPAIR
run_MBPP_2025-12-11T00:49:23.675982::mbpp-613,LOCAL_REPAIR
run_MedBrowseComp_2025-12-20T04:32:10.895355::medbrowsecomp_67,LOCAL_REPAIR
run_GSM8K_2025-12-20T07:38:08.801930::gsm8k_690,LOCAL_REPAIR
run_MedBrowseComp_2025-12-20T04:32:10.895355::medbrowsecomp_25,TOOL_FIX
run_MedBrowseComp_2025-12-20T04:32:10.895355::medbrowsecomp_71,RETRIEVE_MORE
run_GSM8K_2025-12-20T07:38:08.801930::gsm8k_198,LOCAL_REPAIR
run_MedBrowseComp_2025-12-19T21:55:32.749095::medbrowsecomp_131,RETRIEVE_MORE
run_MedBrowseComp_2025-12-19T21:55:32.749095::medbrowsecomp_390,LOCAL_REPAIR
run_GSM8K_2025-12-20T07:38:08.801930::gsm8k_990,LOCAL_REPAIR
run_MBPP_2025-12-11T00:49:23.675982::mbpp-696,LOCAL_REPAIR
run_MBPP_2025-12-11T00:49:23.675982::mbpp-56,LOCAL_REPAIR
run_GSM8K_2025-12-20T07:38:08.801930::gsm8k_518,LOCAL_REPAIR
run_MBPP_2025-12-11T00:49:23.675982::mbpp-151,LOCAL_REPAIR
run_MedBrowseComp_2025-12-19T21:55:32.749095::medbrowsecomp_326,REPLAN
run_MBPP_2025-12-11T00:49:23.675982::mbpp-211,TOOL_FIX
run_MedBrowseComp_2025-12-19T21:55:32.749095::medbrowsecomp_140,LOCAL_REPAIR
run_MBPP_2025-12-11T00:49:23.675982::mbpp-585,LOCAL_REPAIR
run_MBPP_2025-12-11T00:49:23.675982::mbpp-108,REPLAN
run_GSM8K_2025-12-20T07:38:08.801930::gsm8k_953,LOCAL_REPAIR
run_SealQA_2025-12-18T02:41:05.742380::sealqa_46,REPLAN
